Epoch: [0][0/709]	 Time 1.116 (1.116)	 Loss 0.014001 (0.014001)
ch: [0][100/709]	 Time 0.240 (0.254)	 Loss 0.135508 (0.128398)
Epoch: [0][150/709]	 Time 0.237 (0.249)	 Loss 0.112715 (0.125106)
Epoch: [0][200/709]	 Time 0.240 (0.247)	 Loss 0.134730 (0.122916)
Epoch: [0][250/709]	 Time 0.242 (0.246)	 Loss 0.107134 (0.120693)
Epoch: [0][300/709]	 Time 0.239 (0.245)	 Loss 0.095198 (0.118817)
Epoch: [0][350/709]	 Time 0.240 (0.244)	 Loss 0.102330 (0.117513)
Epoch: [0][400/709]	 Time 0.242 (0.244)	 Loss 0.090438 (0.116070)
Epoch: [0][450/709]	 Time 0.242 (0.244)	 Loss 0.086858 (0.114689)
Epoch: [0][500/709]	 Time 0.245 (0.244)	 Loss 0.116631 (0.113817)
Epoch: [0][550/709]	 Time 0.246 (0.244)	 Loss 0.113206 (0.112992)
Epoch: [0][600/709]	 Time 0.244 (0.243)	 Loss 0.098576 (0.112411)
Epoch: [0][650/709]	 Time 0.242 (0.243)	 Loss 0.103309 (0.111481)
Epoch: [0][700/709]	 Time 0.239 (0.243)	 Loss 0.103495 (0.110745)
Val/Test: [0/196]	 Time 1.203 (1.203)	 Loss 0.114791 (0.114791)
Val/Test: [50/196]	 Time 0.217 (0.270)	 Loss 0.117528 (0.112504)
Val/Test: [100/196]	 Time 0.259 (0.261)	 Loss 0.108194 (0.110884)
Val/Test: [150/196]	 Time 0.250 (0.260)	 Loss 0.109673 (0.110631)
Epoch: [1][0/709]	 Time 1.121 (1.121)	 Loss 0.115385 (0.115385)
Epoch: [1][50/709]	 Time 0.244 (0.259)	 Loss 0.097574 (0.100050)
Epoch: [1][100/709]	 Time 0.243 (0.251)	 Loss 0.091102 (0.099484)
Epoch: [1][150/709]	 Time 0.242 (0.248)	 Loss 0.096733 (0.098774)
Epoch: [1][200/709]	 Time 0.244 (0.246)	 Loss 0.089447 (0.098745)
Epoch: [1][250/709]	 Time 0.241 (0.245)	 Loss 0.119693 (0.098560)
Epoch: [1][300/709]	 Time 0.243 (0.245)	 Loss 0.095519 (0.098244)
Epoch: [1][350/709]	 Time 0.243 (0.245)	 Loss 0.100744 (0.097983)
Epoch: [1][400/709]	 Time 0.240 (0.244)	 Loss 0.084709 (0.098005)
Epoch: [1][450/709]	 Time 0.240 (0.244)	 Loss 0.106418 (0.097933)
Epoch: [1][500/709]	 Time 0.243 (0.244)	 Loss 0.086350 (0.097521)
Epoch: [1][550/709]	 Time 0.242 (0.244)	 Loss 0.088228 (0.097337)
Epoch: [1][600/709]	 Time 0.239 (0.244)	 Loss 0.096822 (0.096935)
Epoch: [1][650/709]	 Time 0.240 (0.244)	 Loss 0.086350 (0.096535)
Epoch: [1][700/709]	 Time 0.242 (0.243)	 Loss 0.092059 (0.096344)
Val/Test: [0/196]	 Time 1.180 (1.180)	 Loss 0.126689 (0.126689)
Val/Test: [50/196]	 Time 0.218 (0.270)	 Loss 0.120748 (0.115377)
Val/Test: [100/196]	 Time 0.223 (0.259)	 Loss 0.109642 (0.113794)
Val/Test: [150/196]	 Time 0.220 (0.254)	 Loss 0.099978 (0.113846)
Epoch: [2][0/709]	 Time 1.111 (1.111)	 Loss 0.100368 (0.100368)
Epoch: [2][50/709]	 Time 0.239 (0.258)	 Loss 0.081040 (0.094303)
Epoch: [2][100/709]	 Time 0.241 (0.250)	 Loss 0.088448 (0.092995)
Epoch: [2][150/709]	 Time 0.243 (0.247)	 Loss 0.079701 (0.092144)
Epoch: [2][200/709]	 Time 0.247 (0.246)	 Loss 0.083575 (0.092378)
Epoch: [2][250/709]	 Time 0.243 (0.245)	 Loss 0.088714 (0.092348)
Epoch: [2][300/709]	 Time 0.241 (0.245)	 Loss 0.092145 (0.091866)
Epoch: [2][350/709]	 Time 0.242 (0.244)	 Loss 0.108049 (0.091873)
Epoch: [2][400/709]	 Time 0.241 (0.244)	 Loss 0.094097 (0.091806)
Epoch: [2][450/709]	 Time 0.242 (0.244)	 Loss 0.081941 (0.091674)
Epoch: [2][500/709]	 Time 0.243 (0.243)	 Loss 0.090213 (0.091577)
Epoch: [2][550/709]	 Time 0.243 (0.243)	 Loss 0.105396 (0.091666)
Epoch: [2][600/709]	 Time 0.240 (0.243)	 Loss 0.091150 (0.091550)
Epoch: [2][650/709]	 Time 0.240 (0.243)	 Loss 0.102938 (0.091447)
Epoch: [2][700/709]	 Time 0.239 (0.243)	 Loss 0.082335 (0.091120)
Val/Test: [0/196]	 Time 1.172 (1.172)	 Loss 0.108578 (0.108578)
Val/Test: [50/196]	 Time 0.219 (0.255)	 Loss 0.108657 (0.113337)
Val/Test: [100/196]	 Time 0.215 (0.248)	 Loss 0.107341 (0.114594)
Val/Test: [150/196]	 Time 0.223 (0.246)	 Loss 0.102152 (0.114716)
Epoch: [3][0/709]	 Time 1.114 (1.114)	 Loss 0.105804 (0.105804)
Epoch: [3][50/709]	 Time 0.239 (0.261)	 Loss 0.079050 (0.090362)
Epoch: [3][100/709]	 Time 0.240 (0.252)	 Loss 0.104228 (0.090764)
Epoch: [3][150/709]	 Time 0.243 (0.248)	 Loss 0.096970 (0.090155)
Epoch: [3][200/709]	 Time 0.244 (0.247)	 Loss 0.081745 (0.090321)
Epoch: [3][250/709]	 Time 0.243 (0.246)	 Loss 0.092038 (0.090298)
Epoch: [3][300/709]	 Time 0.242 (0.245)	 Loss 0.082279 (0.089974)
Epoch: [3][350/709]	 Time 0.242 (0.245)	 Loss 0.096738 (0.089634)
Epoch: [3][400/709]	 Time 0.238 (0.244)	 Loss 0.079710 (0.089258)
Epoch: [3][450/709]	 Time 0.245 (0.244)	 Loss 0.093031 (0.089185)
Epoch: [3][500/709]	 Time 0.240 (0.244)	 Loss 0.084430 (0.089104)
Epoch: [3][550/709]	 Time 0.241 (0.244)	 Loss 0.077272 (0.089113)
Epoch: [3][600/709]	 Time 0.241 (0.244)	 Loss 0.085961 (0.088847)
Epoch: [3][650/709]	 Time 0.243 (0.243)	 Loss 0.091157 (0.088943)
Epoch: [3][700/709]	 Time 0.240 (0.243)	 Loss 0.095452 (0.089013)
Val/Test: [0/196]	 Time 1.216 (1.216)	 Loss 0.102130 (0.102130)
Val/Test: [50/196]	 Time 0.221 (0.260)	 Loss 0.107980 (0.114243)
Val/Test: [100/196]	 Time 0.219 (0.253)	 Loss 0.113447 (0.114716)
Val/Test: [150/196]	 Time 0.220 (0.249)	 Loss 0.106407 (0.114032)
Epoch: [4][0/709]	 Time 1.086 (1.086)	 Loss 0.078915 (0.078915)
Epoch: [4][50/709]	 Time 0.240 (0.261)	 Loss 0.087089 (0.090540)
Epoch: [4][100/709]	 Time 0.244 (0.252)	 Loss 0.080930 (0.088919)
Epoch: [4][150/709]	 Time 0.242 (0.248)	 Loss 0.079821 (0.088323)
Epoch: [4][200/709]	 Time 0.240 (0.246)	 Loss 0.081263 (0.088186)
Epoch: [4][250/709]	 Time 0.243 (0.246)	 Loss 0.099005 (0.087722)
Epoch: [4][300/709]	 Time 0.243 (0.245)	 Loss 0.098348 (0.087564)
Epoch: [4][350/709]	 Time 0.244 (0.245)	 Loss 0.075085 (0.087493)
Epoch: [4][400/709]	 Time 0.242 (0.244)	 Loss 0.087938 (0.087198)
Epoch: [4][450/709]	 Time 0.245 (0.244)	 Loss 0.104442 (0.087190)
Epoch: [4][500/709]	 Time 0.240 (0.244)	 Loss 0.107014 (0.087240)
Epoch: [4][550/709]	 Time 0.242 (0.244)	 Loss 0.086002 (0.087255)
Epoch: [4][600/709]	 Time 0.242 (0.243)	 Loss 0.098276 (0.087249)
Epoch: [4][650/709]	 Time 0.240 (0.243)	 Loss 0.071134 (0.087116)
Epoch: [4][700/709]	 Time 0.240 (0.243)	 Loss 0.080630 (0.087106)
Val/Test: [0/196]	 Time 1.210 (1.210)	 Loss 0.089086 (0.089086)
Val/Test: [50/196]	 Time 0.222 (0.267)	 Loss 0.118047 (0.113610)
Val/Test: [100/196]	 Time 0.223 (0.255)	 Loss 0.116966 (0.114797)
Val/Test: [150/196]	 Time 0.221 (0.251)	 Loss 0.106569 (0.114627)
Epoch: [5][0/709]	 Time 1.094 (1.094)	 Loss 0.087607 (0.087607)
Epoch: [5][50/709]	 Time 0.239 (0.260)	 Loss 0.082859 (0.086170)
Epoch: [5][100/709]	 Time 0.241 (0.251)	 Loss 0.079741 (0.085458)
