Epoch: [0][0/709]	 Time 1.190 (1.190)	 Loss 0.026065 (0.026065)
Epoch: [0][50/709]	 Time 0.241 (0.260)	 Loss 0.030676 (0.024090)
Epoch: [0][100/709]	 Time 0.241 (0.250)	 Loss 0.015005 (0.021662)
Epoch: [0][150/709]	 Time 0.240 (0.247)	 Loss 0.013479 (0.020534)
Epoch: [0][200/709]	 Time 0.241 (0.246)	 Loss 0.019046 (0.019672)
Epoch: [0][250/709]	 Time 0.240 (0.245)	 Loss 0.011890 (0.018872)
Epoch: [0][300/709]	 Time 0.241 (0.244)	 Loss 0.015909 (0.018371)
Epoch: [0][350/709]	 Time 0.240 (0.244)	 Loss 0.011995 (0.017870)
Epoch: [0][400/709]	 Time 0.239 (0.244)	 Loss 0.016529 (0.017448)
Epoch: [0][450/709]	 Time 0.242 (0.244)	 Loss 0.011574 (0.017141)
Epoch: [0][500/709]	 Time 0.241 (0.243)	 Loss 0.014242 (0.016841)
Epoch: [0][550/709]	 Time 0.245 (0.243)	 Loss 0.014227 (0.016569)
Epoch: [0][600/709]	 Time 0.241 (0.243)	 Loss 0.012508 (0.016359)
Epoch: [0][650/709]	 Time 0.253 (0.243)	 Loss 0.016080 (0.016193)
Epoch: [0][700/709]	 Time 0.241 (0.243)	 Loss 0.011051 (0.015971)
Val/Test: [0/196]	 Time 1.247 (1.247)	 Loss 0.019549 (0.019549)
Val/Test: [50/196]	 Time 0.219 (0.277)	 Loss 0.017540 (0.020450)
Val/Test: [100/196]	 Time 0.223 (0.265)	 Loss 0.017999 (0.020104)
Val/Test: [150/196]	 Time 0.215 (0.263)	 Loss 0.025427 (0.020339)
Epoch: [1][0/709]	 Time 1.122 (1.122)	 Loss 0.012787 (0.012787)
Epoch: [1][50/709]	 Time 0.241 (0.264)	 Loss 0.012650 (0.013738)
Epoch: [1][100/709]	 Time 0.245 (0.253)	 Loss 0.015231 (0.013355)
