Epoch: [0][0/288]	 Time 2.138 (2.138)	 Loss 0.123904 (0.123904)
Epoch: [0][10/288]	 Time 0.648 (0.788)	 Loss 0.159804 (0.121154)
Epoch: [0][20/288]	 Time 0.651 (0.721)	 Loss 0.111943 (0.123177)
Epoch: [0][30/288]	 Time 0.642 (0.696)	 Loss 0.141495 (0.122214)
Epoch: [0][40/288]	 Time 0.640 (0.684)	 Loss 0.160162 (0.122436)
Epoch: [0][50/288]	 Time 0.650 (0.677)	 Loss 0.126707 (0.123618)
Epoch: [0][60/288]	 Time 0.649 (0.672)	 Loss 0.108017 (0.122246)
Epoch: [0][70/288]	 Time 0.651 (0.670)	 Loss 0.136600 (0.121374)
Epoch: [0][80/288]	 Time 0.655 (0.668)	 Loss 0.106340 (0.121882)
Epoch: [0][90/288]	 Time 0.655 (0.667)	 Loss 0.150106 (0.122254)
Epoch: [0][100/288]	 Time 0.651 (0.666)	 Loss 0.117595 (0.121901)
Epoch: [0][110/288]	 Time 0.653 (0.665)	 Loss 0.114371 (0.120829)
Epoch: [0][120/288]	 Time 0.658 (0.664)	 Loss 0.102844 (0.121347)
Epoch: [0][130/288]	 Time 0.657 (0.664)	 Loss 0.089621 (0.121285)
Epoch: [0][140/288]	 Time 0.660 (0.664)	 Loss 0.091638 (0.120564)
Epoch: [0][150/288]	 Time 0.654 (0.664)	 Loss 0.092596 (0.120527)
Epoch: [0][160/288]	 Time 0.655 (0.663)	 Loss 0.095703 (0.119889)
Epoch: [0][170/288]	 Time 0.679 (0.663)	 Loss 0.118640 (0.119816)
Epoch: [0][180/288]	 Time 0.662 (0.664)	 Loss 0.159963 (0.119787)
Epoch: [0][190/288]	 Time 0.660 (0.663)	 Loss 0.142542 (0.119959)
Epoch: [0][200/288]	 Time 0.660 (0.663)	 Loss 0.128272 (0.119981)
Epoch: [0][210/288]	 Time 0.665 (0.663)	 Loss 0.118438 (0.119564)
Epoch: [0][220/288]	 Time 0.687 (0.664)	 Loss 0.103635 (0.119397)
Epoch: [0][230/288]	 Time 0.667 (0.663)	 Loss 0.095271 (0.119224)
Epoch: [0][240/288]	 Time 0.660 (0.663)	 Loss 0.105437 (0.119486)
Epoch: [0][250/288]	 Time 0.664 (0.663)	 Loss 0.094868 (0.119856)
Epoch: [0][260/288]	 Time 0.660 (0.663)	 Loss 0.126365 (0.119540)
Epoch: [0][270/288]	 Time 0.665 (0.663)	 Loss 0.107998 (0.119346)
Epoch: [0][280/288]	 Time 0.659 (0.663)	 Loss 0.139945 (0.119407)
Val/Test: [0/72]	 Time 1.366 (1.366)	 Loss 0.090274 (0.090274)
Val/Test: [10/72]	 Time 0.630 (0.697)	 Loss 0.117567 (0.117514)
Val/Test: [20/72]	 Time 0.634 (0.670)	 Loss 0.113444 (0.111882)
Val/Test: [30/72]	 Time 0.620 (0.659)	 Loss 0.105504 (0.111303)
Val/Test: [40/72]	 Time 0.626 (0.652)	 Loss 0.124168 (0.111055)
Val/Test: [50/72]	 Time 0.647 (0.651)	 Loss 0.173693 (0.113012)
Val/Test: [60/72]	 Time 0.638 (0.648)	 Loss 0.111752 (0.111831)
Val/Test: [70/72]	 Time 0.622 (0.646)	 Loss 0.153649 (0.112050)
Epoch: [1][0/288]	 Time 1.018 (1.018)	 Loss 0.146357 (0.146357)
Epoch: [1][10/288]	 Time 0.662 (0.695)	 Loss 0.137446 (0.118186)
Epoch: [1][20/288]	 Time 0.655 (0.680)	 Loss 0.087585 (0.113135)
Epoch: [1][30/288]	 Time 0.662 (0.673)	 Loss 0.116601 (0.115517)
Epoch: [1][40/288]	 Time 0.661 (0.670)	 Loss 0.091593 (0.113318)
Epoch: [1][50/288]	 Time 0.663 (0.668)	 Loss 0.099319 (0.110515)
Epoch: [1][60/288]	 Time 0.658 (0.667)	 Loss 0.141473 (0.113490)
Epoch: [1][70/288]	 Time 0.660 (0.666)	 Loss 0.182772 (0.112970)
Epoch: [1][80/288]	 Time 0.659 (0.665)	 Loss 0.161215 (0.113100)
Epoch: [1][90/288]	 Time 0.659 (0.665)	 Loss 0.152126 (0.113548)
Epoch: [1][100/288]	 Time 0.667 (0.665)	 Loss 0.139619 (0.113303)
Epoch: [1][110/288]	 Time 0.657 (0.664)	 Loss 0.121264 (0.112945)
Epoch: [1][120/288]	 Time 0.658 (0.664)	 Loss 0.093986 (0.112452)
Epoch: [1][130/288]	 Time 0.659 (0.663)	 Loss 0.135588 (0.113156)
Epoch: [1][140/288]	 Time 0.653 (0.663)	 Loss 0.100962 (0.113757)
Epoch: [1][150/288]	 Time 0.660 (0.663)	 Loss 0.109473 (0.113335)
Epoch: [1][160/288]	 Time 0.659 (0.663)	 Loss 0.118856 (0.113263)
Epoch: [1][170/288]	 Time 0.660 (0.663)	 Loss 0.089195 (0.113106)
Epoch: [1][180/288]	 Time 0.661 (0.663)	 Loss 0.109583 (0.112719)
Epoch: [1][190/288]	 Time 0.653 (0.663)	 Loss 0.125109 (0.112735)
Epoch: [1][200/288]	 Time 0.662 (0.662)	 Loss 0.086710 (0.112952)
Epoch: [1][210/288]	 Time 0.654 (0.662)	 Loss 0.125969 (0.112703)
Epoch: [1][220/288]	 Time 0.660 (0.662)	 Loss 0.092624 (0.113435)
Epoch: [1][230/288]	 Time 0.658 (0.662)	 Loss 0.116347 (0.113517)
Epoch: [1][240/288]	 Time 0.655 (0.662)	 Loss 0.114568 (0.113028)
Epoch: [1][250/288]	 Time 0.660 (0.662)	 Loss 0.095524 (0.112836)
Epoch: [1][260/288]	 Time 0.658 (0.662)	 Loss 0.101746 (0.112879)
Epoch: [1][270/288]	 Time 0.650 (0.662)	 Loss 0.104493 (0.112743)
Epoch: [1][280/288]	 Time 0.658 (0.662)	 Loss 0.133023 (0.112603)
Val/Test: [0/72]	 Time 0.967 (0.967)	 Loss 0.107183 (0.107183)
Val/Test: [10/72]	 Time 0.634 (0.666)	 Loss 0.112337 (0.107097)
Val/Test: [20/72]	 Time 0.631 (0.649)	 Loss 0.079970 (0.100660)
Val/Test: [30/72]	 Time 0.635 (0.643)	 Loss 0.113646 (0.100469)
Val/Test: [40/72]	 Time 0.631 (0.640)	 Loss 0.090891 (0.103871)
Val/Test: [50/72]	 Time 0.629 (0.639)	 Loss 0.127198 (0.106359)
Val/Test: [60/72]	 Time 0.634 (0.638)	 Loss 0.099597 (0.108454)
Val/Test: [70/72]	 Time 0.624 (0.637)	 Loss 0.130955 (0.108641)
Epoch: [2][0/288]	 Time 1.049 (1.049)	 Loss 0.127163 (0.127163)
Epoch: [2][10/288]	 Time 0.662 (0.697)	 Loss 0.102843 (0.109588)
Epoch: [2][20/288]	 Time 0.665 (0.681)	 Loss 0.109757 (0.110353)
Epoch: [2][30/288]	 Time 0.657 (0.674)	 Loss 0.084299 (0.111116)
Epoch: [2][40/288]	 Time 0.661 (0.671)	 Loss 0.132983 (0.110311)
Epoch: [2][50/288]	 Time 0.660 (0.669)	 Loss 0.104419 (0.109530)
Epoch: [2][60/288]	 Time 0.658 (0.667)	 Loss 0.083321 (0.110084)
Epoch: [2][70/288]	 Time 0.664 (0.666)	 Loss 0.097806 (0.109222)
Epoch: [2][80/288]	 Time 0.660 (0.665)	 Loss 0.106971 (0.108271)
Epoch: [2][90/288]	 Time 0.662 (0.665)	 Loss 0.142601 (0.109255)
Epoch: [2][100/288]	 Time 0.657 (0.664)	 Loss 0.109520 (0.108866)
Epoch: [2][110/288]	 Time 0.658 (0.664)	 Loss 0.091075 (0.109510)
Epoch: [2][120/288]	 Time 0.664 (0.664)	 Loss 0.092715 (0.109145)
Epoch: [2][130/288]	 Time 0.660 (0.663)	 Loss 0.102578 (0.109288)
Epoch: [2][140/288]	 Time 0.662 (0.663)	 Loss 0.118476 (0.108797)
Epoch: [2][150/288]	 Time 0.660 (0.663)	 Loss 0.110377 (0.108411)
Epoch: [2][160/288]	 Time 0.659 (0.663)	 Loss 0.133936 (0.108141)
Epoch: [2][170/288]	 Time 0.664 (0.663)	 Loss 0.077201 (0.108087)
Epoch: [2][180/288]	 Time 0.662 (0.663)	 Loss 0.119282 (0.107672)
Epoch: [2][190/288]	 Time 0.662 (0.663)	 Loss 0.103727 (0.107662)
Epoch: [2][200/288]	 Time 0.659 (0.662)	 Loss 0.096993 (0.107819)
Epoch: [2][210/288]	 Time 0.660 (0.662)	 Loss 0.100133 (0.107888)
Epoch: [2][220/288]	 Time 0.660 (0.662)	 Loss 0.120238 (0.108405)
Epoch: [2][230/288]	 Time 0.659 (0.662)	 Loss 0.114695 (0.109055)
Epoch: [2][240/288]	 Time 0.662 (0.662)	 Loss 0.105416 (0.109595)
Epoch: [2][250/288]	 Time 0.660 (0.662)	 Loss 0.126574 (0.109553)
Epoch: [2][260/288]	 Time 0.661 (0.662)	 Loss 0.114511 (0.109884)
Epoch: [2][270/288]	 Time 0.654 (0.662)	 Loss 0.122829 (0.110037)
Epoch: [2][280/288]	 Time 0.663 (0.662)	 Loss 0.144802 (0.110076)
Val/Test: [0/72]	 Time 0.986 (0.986)	 Loss 0.136591 (0.136591)
Val/Test: [10/72]	 Time 0.627 (0.667)	 Loss 0.131750 (0.117514)
Val/Test: [20/72]	 Time 0.633 (0.651)	 Loss 0.102085 (0.114086)
Val/Test: [30/72]	 Time 0.633 (0.644)	 Loss 0.080872 (0.111512)
Val/Test: [40/72]	 Time 0.627 (0.641)	 Loss 0.095063 (0.112073)
Val/Test: [50/72]	 Time 0.626 (0.640)	 Loss 0.086905 (0.110405)
Val/Test: [60/72]	 Time 0.636 (0.638)	 Loss 0.114903 (0.109967)
Val/Test: [70/72]	 Time 0.629 (0.637)	 Loss 0.087067 (0.110687)
Epoch: [3][0/288]	 Time 1.049 (1.049)	 Loss 0.128514 (0.128514)
Epoch: [3][10/288]	 Time 0.666 (0.704)	 Loss 0.111644 (0.115917)
Epoch: [3][20/288]	 Time 0.669 (0.687)	 Loss 0.088613 (0.108490)
Epoch: [3][30/288]	 Time 0.664 (0.679)	 Loss 0.135866 (0.108944)
Epoch: [3][40/288]	 Time 0.665 (0.675)	 Loss 0.137204 (0.109179)
Epoch: [3][50/288]	 Time 0.664 (0.674)	 Loss 0.095183 (0.108454)
Epoch: [3][60/288]	 Time 0.658 (0.672)	 Loss 0.090587 (0.109575)
Epoch: [3][70/288]	 Time 0.668 (0.671)	 Loss 0.119665 (0.110271)
Epoch: [3][80/288]	 Time 0.659 (0.670)	 Loss 0.112929 (0.110061)
Epoch: [3][90/288]	 Time 0.665 (0.669)	 Loss 0.121284 (0.109940)
Epoch: [3][100/288]	 Time 0.666 (0.669)	 Loss 0.140266 (0.110369)
Epoch: [3][110/288]	 Time 0.672 (0.669)	 Loss 0.099257 (0.110554)
Epoch: [3][120/288]	 Time 0.662 (0.668)	 Loss 0.142471 (0.109901)
Epoch: [3][130/288]	 Time 0.670 (0.668)	 Loss 0.106334 (0.109329)
Epoch: [3][140/288]	 Time 0.663 (0.667)	 Loss 0.145182 (0.109411)
Epoch: [3][150/288]	 Time 0.666 (0.667)	 Loss 0.138699 (0.108975)
Epoch: [3][160/288]	 Time 0.664 (0.667)	 Loss 0.068846 (0.108291)
Epoch: [3][170/288]	 Time 0.662 (0.667)	 Loss 0.133778 (0.109076)
Epoch: [3][180/288]	 Time 0.664 (0.667)	 Loss 0.085907 (0.108692)
Epoch: [3][190/288]	 Time 0.656 (0.666)	 Loss 0.117820 (0.109285)
Epoch: [3][200/288]	 Time 0.668 (0.666)	 Loss 0.146511 (0.109557)
Epoch: [3][210/288]	 Time 0.656 (0.666)	 Loss 0.108763 (0.109871)
