Epoch: [13][0/1500]	 Time 1.135 (1.135)	 Loss 0.016798 (0.016798)
Epoch: [13][60/1500]	 Time 0.286 (0.297)	 Loss 0.018491 (0.016485)
Epoch: [13][120/1500]	 Time 0.284 (0.291)	 Loss 0.017862 (0.016807)
Epoch: [13][180/1500]	 Time 0.286 (0.290)	 Loss 0.013002 (0.016825)
Epoch: [13][240/1500]	 Time 0.289 (0.289)	 Loss 0.020200 (0.017055)
Epoch: [13][300/1500]	 Time 0.291 (0.289)	 Loss 0.016474 (0.017166)
Epoch: [13][360/1500]	 Time 0.290 (0.289)	 Loss 0.020177 (0.017140)
Epoch: [13][420/1500]	 Time 0.291 (0.289)	 Loss 0.014720 (0.017346)
Epoch: [13][480/1500]	 Time 0.291 (0.289)	 Loss 0.022217 (0.017409)
Epoch: [13][540/1500]	 Time 0.290 (0.289)	 Loss 0.014199 (0.017339)
Epoch: [13][600/1500]	 Time 0.287 (0.289)	 Loss 0.020222 (0.017416)
Epoch: [13][660/1500]	 Time 0.286 (0.289)	 Loss 0.021400 (0.017382)
Epoch: [13][720/1500]	 Time 0.290 (0.289)	 Loss 0.019438 (0.017345)
Epoch: [13][780/1500]	 Time 0.291 (0.289)	 Loss 0.016669 (0.017351)
Epoch: [13][840/1500]	 Time 0.289 (0.289)	 Loss 0.018654 (0.017347)
Epoch: [13][900/1500]	 Time 0.285 (0.289)	 Loss 0.012081 (0.017369)
Epoch: [13][960/1500]	 Time 0.291 (0.289)	 Loss 0.018894 (0.017423)
Epoch: [13][1020/1500]	 Time 0.291 (0.289)	 Loss 0.022448 (0.017474)
Epoch: [13][1080/1500]	 Time 0.290 (0.289)	 Loss 0.017503 (0.017523)
Epoch: [13][1140/1500]	 Time 0.287 (0.289)	 Loss 0.017846 (0.017500)
Epoch: [13][1200/1500]	 Time 0.286 (0.289)	 Loss 0.021249 (0.017506)
Epoch: [13][1260/1500]	 Time 0.289 (0.289)	 Loss 0.015104 (0.017497)
Epoch: [13][1320/1500]	 Time 0.287 (0.289)	 Loss 0.015429 (0.017510)
Epoch: [13][1380/1500]	 Time 0.286 (0.289)	 Loss 0.014984 (0.017491)
Epoch: [13][1440/1500]	 Time 0.287 (0.289)	 Loss 0.013408 (0.017495)
Val/Test: [0/375]	 Time 0.487 (0.487)	 Loss 0.020624 (0.020624)
Val/Test: [60/375]	 Time 0.277 (0.280)	 Loss 0.014976 (0.018370)
Val/Test: [120/375]	 Time 0.276 (0.279)	 Loss 0.015336 (0.018328)
Val/Test: [180/375]	 Time 0.277 (0.278)	 Loss 0.017405 (0.018056)
Val/Test: [240/375]	 Time 0.278 (0.278)	 Loss 0.022515 (0.017933)
Val/Test: [300/375]	 Time 0.273 (0.278)	 Loss 0.017888 (0.017896)
Val/Test: [360/375]	 Time 0.277 (0.277)	 Loss 0.015056 (0.017877)
Epoch: [14][0/1500]	 Time 0.489 (0.489)	 Loss 0.014961 (0.014961)
Epoch: [14][60/1500]	 Time 0.288 (0.291)	 Loss 0.017238 (0.018829)
Epoch: [14][120/1500]	 Time 0.288 (0.289)	 Loss 0.017077 (0.018257)
Epoch: [14][180/1500]	 Time 0.285 (0.289)	 Loss 0.015130 (0.017841)
Epoch: [14][240/1500]	 Time 0.286 (0.289)	 Loss 0.015542 (0.017719)
Epoch: [14][300/1500]	 Time 0.288 (0.289)	 Loss 0.014462 (0.017650)
Epoch: [14][360/1500]	 Time 0.287 (0.288)	 Loss 0.011068 (0.017721)
Epoch: [14][420/1500]	 Time 0.286 (0.288)	 Loss 0.019173 (0.017787)
Epoch: [14][480/1500]	 Time 0.289 (0.288)	 Loss 0.014437 (0.017738)
Epoch: [14][540/1500]	 Time 0.290 (0.288)	 Loss 0.018567 (0.017713)
Epoch: [14][600/1500]	 Time 0.289 (0.288)	 Loss 0.017940 (0.017752)
Epoch: [14][660/1500]	 Time 0.288 (0.288)	 Loss 0.012705 (0.017657)
Epoch: [14][720/1500]	 Time 0.289 (0.288)	 Loss 0.016322 (0.017620)
Epoch: [14][780/1500]	 Time 0.291 (0.288)	 Loss 0.018119 (0.017631)
Epoch: [14][840/1500]	 Time 0.289 (0.288)	 Loss 0.019253 (0.017675)
Epoch: [14][900/1500]	 Time 0.287 (0.288)	 Loss 0.014416 (0.017639)
Epoch: [14][960/1500]	 Time 0.291 (0.288)	 Loss 0.014579 (0.017607)
Epoch: [14][1020/1500]	 Time 0.290 (0.288)	 Loss 0.016072 (0.017577)
Epoch: [14][1080/1500]	 Time 0.289 (0.288)	 Loss 0.019138 (0.017567)
Epoch: [14][1140/1500]	 Time 0.286 (0.288)	 Loss 0.010788 (0.017544)
Epoch: [14][1200/1500]	 Time 0.290 (0.288)	 Loss 0.019812 (0.017549)
Epoch: [14][1260/1500]	 Time 0.286 (0.288)	 Loss 0.014468 (0.017523)
Epoch: [14][1320/1500]	 Time 0.290 (0.288)	 Loss 0.023010 (0.017502)
Epoch: [14][1380/1500]	 Time 0.291 (0.288)	 Loss 0.017490 (0.017474)
Epoch: [14][1440/1500]	 Time 0.289 (0.288)	 Loss 0.016764 (0.017458)
Val/Test: [0/375]	 Time 0.507 (0.507)	 Loss 0.019221 (0.019221)
Val/Test: [60/375]	 Time 0.277 (0.280)	 Loss 0.016933 (0.019239)
Val/Test: [120/375]	 Time 0.272 (0.278)	 Loss 0.022073 (0.018831)
Val/Test: [180/375]	 Time 0.276 (0.278)	 Loss 0.012888 (0.018685)
Val/Test: [240/375]	 Time 0.281 (0.278)	 Loss 0.022515 (0.018315)
Val/Test: [300/375]	 Time 0.276 (0.278)	 Loss 0.024901 (0.018312)
Val/Test: [360/375]	 Time 0.279 (0.277)	 Loss 0.024306 (0.018273)
Epoch: [15][0/1500]	 Time 0.494 (0.494)	 Loss 0.015956 (0.015956)
Epoch: [15][60/1500]	 Time 0.288 (0.291)	 Loss 0.020272 (0.017810)
Epoch: [15][120/1500]	 Time 0.287 (0.289)	 Loss 0.017940 (0.017386)
Epoch: [15][180/1500]	 Time 0.287 (0.289)	 Loss 0.019422 (0.017352)
Epoch: [15][240/1500]	 Time 0.288 (0.289)	 Loss 0.019909 (0.017317)
Epoch: [15][300/1500]	 Time 0.285 (0.289)	 Loss 0.021490 (0.017428)
Epoch: [15][360/1500]	 Time 0.289 (0.288)	 Loss 0.019476 (0.017501)
Epoch: [15][420/1500]	 Time 0.288 (0.288)	 Loss 0.015413 (0.017468)
Epoch: [15][480/1500]	 Time 0.287 (0.288)	 Loss 0.015585 (0.017385)
Epoch: [15][540/1500]	 Time 0.290 (0.288)	 Loss 0.017608 (0.017406)
Epoch: [15][600/1500]	 Time 0.287 (0.288)	 Loss 0.017933 (0.017477)
Epoch: [15][660/1500]	 Time 0.288 (0.288)	 Loss 0.019492 (0.017556)
Epoch: [15][720/1500]	 Time 0.288 (0.288)	 Loss 0.018956 (0.017553)
Epoch: [15][780/1500]	 Time 0.285 (0.288)	 Loss 0.020975 (0.017502)
Epoch: [15][840/1500]	 Time 0.290 (0.288)	 Loss 0.027111 (0.017484)
Epoch: [15][900/1500]	 Time 0.290 (0.288)	 Loss 0.023105 (0.017500)
Epoch: [15][960/1500]	 Time 0.288 (0.288)	 Loss 0.017559 (0.017506)
Epoch: [15][1020/1500]	 Time 0.289 (0.288)	 Loss 0.019887 (0.017490)
Epoch: [15][1080/1500]	 Time 0.285 (0.288)	 Loss 0.016098 (0.017538)
Epoch: [15][1140/1500]	 Time 0.290 (0.288)	 Loss 0.021797 (0.017516)
Epoch: [15][1200/1500]	 Time 0.290 (0.288)	 Loss 0.012704 (0.017508)
Epoch: [15][1260/1500]	 Time 0.289 (0.288)	 Loss 0.016361 (0.017492)
Epoch: [15][1320/1500]	 Time 0.288 (0.288)	 Loss 0.020802 (0.017501)
Epoch: [15][1380/1500]	 Time 0.292 (0.288)	 Loss 0.018061 (0.017492)
Epoch: [15][1440/1500]	 Time 0.290 (0.288)	 Loss 0.017573 (0.017467)
