Epoch: [0][0/288]	 Time 1.113 (1.113)	 Loss 0.143745 (0.143745)
Epoch: [0][10/288]	 Time 0.694 (0.731)	 Loss 0.118820 (0.122694)
Epoch: [0][20/288]	 Time 0.693 (0.714)	 Loss 0.108797 (0.122770)
Epoch: [0][30/288]	 Time 0.695 (0.708)	 Loss 0.114338 (0.124951)
Epoch: [0][40/288]	 Time 0.686 (0.704)	 Loss 0.134966 (0.124798)
Epoch: [0][50/288]	 Time 0.695 (0.702)	 Loss 0.112693 (0.124569)
Epoch: [0][60/288]	 Time 0.695 (0.701)	 Loss 0.126858 (0.125637)
Epoch: [0][70/288]	 Time 0.685 (0.700)	 Loss 0.116534 (0.127010)
Epoch: [0][80/288]	 Time 0.692 (0.699)	 Loss 0.118402 (0.125753)
Epoch: [0][90/288]	 Time 0.686 (0.698)	 Loss 0.099675 (0.123509)
Epoch: [0][100/288]	 Time 0.691 (0.697)	 Loss 0.125173 (0.123002)
Epoch: [0][110/288]	 Time 0.692 (0.697)	 Loss 0.100094 (0.122656)
Epoch: [0][120/288]	 Time 0.692 (0.696)	 Loss 0.135501 (0.122438)
Epoch: [0][130/288]	 Time 0.687 (0.696)	 Loss 0.116058 (0.122009)
Epoch: [0][140/288]	 Time 0.698 (0.696)	 Loss 0.131288 (0.120977)
Epoch: [0][150/288]	 Time 0.691 (0.695)	 Loss 0.103281 (0.121162)
Epoch: [0][160/288]	 Time 0.694 (0.695)	 Loss 0.144280 (0.121566)
Epoch: [0][170/288]	 Time 0.696 (0.695)	 Loss 0.121084 (0.120987)
Epoch: [0][180/288]	 Time 0.691 (0.695)	 Loss 0.133897 (0.120599)
Epoch: [0][190/288]	 Time 0.692 (0.695)	 Loss 0.137546 (0.120089)
Epoch: [0][200/288]	 Time 0.688 (0.694)	 Loss 0.117489 (0.119951)
Epoch: [0][210/288]	 Time 0.687 (0.694)	 Loss 0.091197 (0.119071)
Epoch: [0][220/288]	 Time 0.698 (0.694)	 Loss 0.122213 (0.118983)
Epoch: [0][230/288]	 Time 0.692 (0.694)	 Loss 0.091740 (0.118896)
Epoch: [0][240/288]	 Time 0.692 (0.694)	 Loss 0.100014 (0.118373)
Epoch: [0][250/288]	 Time 0.695 (0.694)	 Loss 0.123557 (0.117916)
Epoch: [0][260/288]	 Time 0.692 (0.694)	 Loss 0.118849 (0.118081)
Epoch: [0][270/288]	 Time 0.691 (0.694)	 Loss 0.133939 (0.118270)
Epoch: [0][280/288]	 Time 0.692 (0.694)	 Loss 0.090315 (0.117832)
Val/Test: [0/72]	 Time 1.040 (1.040)	 Loss 0.123941 (0.123941)
Val/Test: [10/72]	 Time 0.664 (0.698)	 Loss 0.151939 (0.109902)
Val/Test: [20/72]	 Time 0.661 (0.680)	 Loss 0.066472 (0.109616)
Val/Test: [30/72]	 Time 0.660 (0.674)	 Loss 0.105687 (0.108308)
Val/Test: [40/72]	 Time 0.661 (0.670)	 Loss 0.111824 (0.107077)
Val/Test: [50/72]	 Time 0.658 (0.669)	 Loss 0.097551 (0.109388)
Val/Test: [60/72]	 Time 0.662 (0.667)	 Loss 0.112246 (0.109618)
Val/Test: [70/72]	 Time 0.656 (0.666)	 Loss 0.093301 (0.109717)
Val/Test: [0/72]	 Time 1.713 (1.713)	 Loss 0.138102 (0.138102)
Val/Test: [10/72]	 Time 0.669 (0.763)	 Loss 0.159405 (0.115280)
Val/Test: [20/72]	 Time 0.668 (0.719)	 Loss 0.111929 (0.110109)
Val/Test: [30/72]	 Time 0.671 (0.702)	 Loss 0.118653 (0.107073)
Val/Test: [40/72]	 Time 0.669 (0.694)	 Loss 0.090691 (0.107122)
Val/Test: [50/72]	 Time 0.669 (0.689)	 Loss 0.143628 (0.107330)
Val/Test: [60/72]	 Time 0.668 (0.686)	 Loss 0.102278 (0.105194)
Val/Test: [70/72]	 Time 0.671 (0.684)	 Loss 0.110749 (0.104633)
Val/Test: [0/72]	 Time 1.138 (1.138)	 Loss 0.095786 (0.095786)
Val/Test: [10/72]	 Time 0.676 (0.717)	 Loss 0.117369 (0.101015)
Val/Test: [20/72]	 Time 0.665 (0.694)	 Loss 0.090111 (0.097774)
Val/Test: [30/72]	 Time 0.663 (0.685)	 Loss 0.110624 (0.100939)
Val/Test: [40/72]	 Time 0.674 (0.681)	 Loss 0.123829 (0.103086)
Val/Test: [50/72]	 Time 0.665 (0.679)	 Loss 0.119919 (0.103550)
Val/Test: [60/72]	 Time 0.673 (0.677)	 Loss 0.113163 (0.104558)
Val/Test: [70/72]	 Time 0.666 (0.676)	 Loss 0.096051 (0.104804)
