Epoch: [1][0/600]	 Time 6.619 (6.619)	 Loss 0.020043 (0.020043)
Epoch: [1][10/600]	 Time 0.803 (1.247)	 Loss 0.008296 (0.017423)
Epoch: [1][20/600]	 Time 0.869 (1.016)	 Loss 0.019229 (0.018504)
Epoch: [1][30/600]	 Time 0.750 (0.928)	 Loss 0.025151 (0.018766)
Epoch: [1][40/600]	 Time 0.742 (0.881)	 Loss 0.013774 (0.018708)
Epoch: [1][50/600]	 Time 0.670 (0.849)	 Loss 0.023121 (0.018550)
Epoch: [1][60/600]	 Time 0.716 (0.831)	 Loss 0.020771 (0.018837)
Epoch: [1][70/600]	 Time 0.712 (0.812)	 Loss 0.026097 (0.019218)
Epoch: [1][80/600]	 Time 0.634 (0.799)	 Loss 0.020081 (0.019191)
Epoch: [1][90/600]	 Time 0.890 (0.795)	 Loss 0.024746 (0.019091)
Epoch: [1][100/600]	 Time 0.646 (0.789)	 Loss 0.019979 (0.018993)
Epoch: [1][110/600]	 Time 0.704 (0.785)	 Loss 0.011163 (0.019124)
Epoch: [1][120/600]	 Time 0.808 (0.780)	 Loss 0.017318 (0.019169)
Epoch: [1][130/600]	 Time 0.632 (0.775)	 Loss 0.017269 (0.019301)
Epoch: [1][140/600]	 Time 0.906 (0.775)	 Loss 0.013214 (0.019199)
Epoch: [1][150/600]	 Time 0.781 (0.772)	 Loss 0.023277 (0.019534)
Epoch: [1][160/600]	 Time 0.631 (0.767)	 Loss 0.019894 (0.019721)
Epoch: [1][170/600]	 Time 0.731 (0.764)	 Loss 0.016040 (0.019685)
Epoch: [1][180/600]	 Time 0.675 (0.762)	 Loss 0.019069 (0.019744)
Epoch: [1][190/600]	 Time 0.662 (0.759)	 Loss 0.011661 (0.019713)
Epoch: [1][200/600]	 Time 0.683 (0.755)	 Loss 0.020298 (0.019582)
Epoch: [1][210/600]	 Time 0.716 (0.753)	 Loss 0.019724 (0.019541)
Epoch: [1][220/600]	 Time 0.748 (0.750)	 Loss 0.010580 (0.019527)
Epoch: [1][230/600]	 Time 0.717 (0.746)	 Loss 0.023768 (0.019431)
Epoch: [1][240/600]	 Time 0.804 (0.745)	 Loss 0.035856 (0.019410)
Epoch: [1][250/600]	 Time 0.812 (0.745)	 Loss 0.031942 (0.019397)
Epoch: [1][260/600]	 Time 0.690 (0.742)	 Loss 0.033566 (0.019349)
Epoch: [1][270/600]	 Time 0.728 (0.740)	 Loss 0.017123 (0.019314)
Epoch: [1][280/600]	 Time 0.634 (0.739)	 Loss 0.022770 (0.019362)
Epoch: [1][290/600]	 Time 0.862 (0.738)	 Loss 0.012847 (0.019403)
Epoch: [1][300/600]	 Time 0.636 (0.737)	 Loss 0.015942 (0.019322)
Epoch: [1][310/600]	 Time 0.643 (0.736)	 Loss 0.039515 (0.019316)
Epoch: [1][320/600]	 Time 0.637 (0.735)	 Loss 0.014466 (0.019235)
Epoch: [1][330/600]	 Time 0.776 (0.734)	 Loss 0.009036 (0.019154)
Epoch: [1][340/600]	 Time 0.635 (0.734)	 Loss 0.008159 (0.019052)
Epoch: [1][350/600]	 Time 0.642 (0.732)	 Loss 0.030517 (0.018994)
Epoch: [1][360/600]	 Time 0.725 (0.731)	 Loss 0.021972 (0.018982)
Epoch: [1][370/600]	 Time 0.642 (0.730)	 Loss 0.021755 (0.018980)
Epoch: [1][380/600]	 Time 0.827 (0.729)	 Loss 0.033225 (0.018968)
Epoch: [1][390/600]	 Time 0.640 (0.728)	 Loss 0.017266 (0.019001)
Epoch: [1][400/600]	 Time 0.642 (0.727)	 Loss 0.032546 (0.018977)
Epoch: [1][410/600]	 Time 0.690 (0.727)	 Loss 0.008549 (0.018965)
Epoch: [1][420/600]	 Time 0.726 (0.727)	 Loss 0.019590 (0.018882)
Epoch: [1][430/600]	 Time 0.635 (0.727)	 Loss 0.017589 (0.018871)
Epoch: [1][440/600]	 Time 0.725 (0.727)	 Loss 0.025786 (0.018875)
Epoch: [1][450/600]	 Time 0.636 (0.725)	 Loss 0.024563 (0.018856)
Epoch: [1][460/600]	 Time 0.783 (0.724)	 Loss 0.015445 (0.018885)
Epoch: [1][470/600]	 Time 0.637 (0.724)	 Loss 0.036385 (0.018950)
Epoch: [1][480/600]	 Time 0.751 (0.724)	 Loss 0.018842 (0.018910)
Epoch: [1][490/600]	 Time 0.642 (0.723)	 Loss 0.007756 (0.018957)
Epoch: [1][500/600]	 Time 0.835 (0.723)	 Loss 0.027230 (0.018958)
Epoch: [1][510/600]	 Time 0.632 (0.722)	 Loss 0.018985 (0.018938)
Epoch: [1][520/600]	 Time 0.636 (0.722)	 Loss 0.028364 (0.018934)
Epoch: [1][530/600]	 Time 0.693 (0.722)	 Loss 0.034148 (0.018971)
Epoch: [1][540/600]	 Time 0.658 (0.722)	 Loss 0.020659 (0.018983)
Epoch: [1][550/600]	 Time 0.696 (0.721)	 Loss 0.017942 (0.018943)
Epoch: [1][560/600]	 Time 0.686 (0.721)	 Loss 0.020197 (0.018899)
Epoch: [1][570/600]	 Time 0.645 (0.721)	 Loss 0.014559 (0.018935)
Epoch: [1][580/600]	 Time 0.668 (0.721)	 Loss 0.012306 (0.018901)
Epoch: [1][590/600]	 Time 0.759 (0.721)	 Loss 0.010935 (0.018947)
Val/Test: [0/150]	 Time 1.218 (1.218)	 Loss 0.021433 (0.021433)
Val/Test: [10/150]	 Time 0.720 (0.764)	 Loss 0.012880 (0.017110)
Val/Test: [20/150]	 Time 0.679 (0.736)	 Loss 0.012976 (0.018684)
Val/Test: [30/150]	 Time 0.740 (0.724)	 Loss 0.010550 (0.018545)
Val/Test: [40/150]	 Time 0.703 (0.727)	 Loss 0.015873 (0.018894)
Val/Test: [50/150]	 Time 0.621 (0.723)	 Loss 0.015194 (0.018772)
Val/Test: [60/150]	 Time 0.667 (0.716)	 Loss 0.006551 (0.019011)
Val/Test: [70/150]	 Time 0.766 (0.717)	 Loss 0.014850 (0.019224)
Val/Test: [80/150]	 Time 0.791 (0.719)	 Loss 0.023531 (0.019194)
Val/Test: [90/150]	 Time 0.791 (0.717)	 Loss 0.020386 (0.019483)
Val/Test: [100/150]	 Time 0.728 (0.719)	 Loss 0.012431 (0.019529)
Val/Test: [110/150]	 Time 0.760 (0.721)	 Loss 0.023061 (0.019202)
Val/Test: [120/150]	 Time 0.786 (0.723)	 Loss 0.016213 (0.019030)
Val/Test: [130/150]	 Time 0.689 (0.724)	 Loss 0.019308 (0.019249)
Val/Test: [140/150]	 Time 0.728 (0.725)	 Loss 0.016402 (0.019156)
Epoch: [2][0/600]	 Time 1.002 (1.002)	 Loss 0.009405 (0.009405)
Epoch: [2][10/600]	 Time 0.636 (0.676)	 Loss 0.027445 (0.017778)
Epoch: [2][20/600]	 Time 0.640 (0.658)	 Loss 0.023094 (0.016676)
Epoch: [2][30/600]	 Time 0.635 (0.652)	 Loss 0.018131 (0.016819)
Epoch: [2][40/600]	 Time 0.644 (0.649)	 Loss 0.021563 (0.017472)
Epoch: [2][50/600]	 Time 0.635 (0.647)	 Loss 0.011552 (0.017507)
Epoch: [2][60/600]	 Time 0.639 (0.646)	 Loss 0.011508 (0.016979)
Epoch: [2][70/600]	 Time 0.637 (0.645)	 Loss 0.020592 (0.017080)
Epoch: [2][80/600]	 Time 0.637 (0.644)	 Loss 0.032881 (0.017679)
Epoch: [2][90/600]	 Time 0.637 (0.644)	 Loss 0.022218 (0.017869)
Epoch: [2][100/600]	 Time 0.638 (0.643)	 Loss 0.024265 (0.018524)
Epoch: [2][110/600]	 Time 0.633 (0.642)	 Loss 0.010961 (0.018631)
Epoch: [2][120/600]	 Time 0.635 (0.642)	 Loss 0.010451 (0.018436)
Epoch: [2][130/600]	 Time 0.638 (0.641)	 Loss 0.007853 (0.018409)
Epoch: [2][140/600]	 Time 0.635 (0.641)	 Loss 0.030850 (0.018592)
Epoch: [2][150/600]	 Time 0.637 (0.640)	 Loss 0.016040 (0.018532)
Epoch: [2][160/600]	 Time 0.638 (0.640)	 Loss 0.009990 (0.018346)
Epoch: [2][170/600]	 Time 0.635 (0.640)	 Loss 0.013856 (0.018205)
Epoch: [2][180/600]	 Time 0.634 (0.639)	 Loss 0.012680 (0.018215)
Epoch: [2][190/600]	 Time 0.634 (0.639)	 Loss 0.014041 (0.018244)
Epoch: [2][200/600]	 Time 0.638 (0.639)	 Loss 0.015828 (0.018203)
Epoch: [2][210/600]	 Time 0.633 (0.639)	 Loss 0.011224 (0.018012)
Epoch: [2][220/600]	 Time 0.640 (0.639)	 Loss 0.010956 (0.017912)
Epoch: [2][230/600]	 Time 0.634 (0.639)	 Loss 0.015515 (0.017800)
Epoch: [2][240/600]	 Time 0.636 (0.639)	 Loss 0.016946 (0.017724)
Epoch: [2][250/600]	 Time 0.638 (0.639)	 Loss 0.013462 (0.017647)
Epoch: [2][260/600]	 Time 0.637 (0.638)	 Loss 0.016047 (0.017695)
Epoch: [2][270/600]	 Time 0.636 (0.638)	 Loss 0.011733 (0.017878)
Epoch: [2][280/600]	 Time 0.635 (0.638)	 Loss 0.012726 (0.017840)
Epoch: [2][290/600]	 Time 0.636 (0.638)	 Loss 0.018738 (0.017865)
Epoch: [2][300/600]	 Time 0.632 (0.638)	 Loss 0.024171 (0.017956)
Epoch: [2][310/600]	 Time 0.636 (0.638)	 Loss 0.025618 (0.018107)
Epoch: [2][320/600]	 Time 0.642 (0.638)	 Loss 0.031105 (0.018150)
Epoch: [2][330/600]	 Time 0.633 (0.638)	 Loss 0.010025 (0.018126)
Epoch: [2][340/600]	 Time 0.635 (0.638)	 Loss 0.014035 (0.018133)
Epoch: [2][350/600]	 Time 0.634 (0.638)	 Loss 0.015881 (0.018238)
Epoch: [2][360/600]	 Time 0.633 (0.638)	 Loss 0.027152 (0.018302)
Epoch: [2][370/600]	 Time 0.635 (0.638)	 Loss 0.015012 (0.018235)
Epoch: [2][380/600]	 Time 0.632 (0.637)	 Loss 0.013314 (0.018192)
Epoch: [2][390/600]	 Time 0.637 (0.637)	 Loss 0.013075 (0.018190)
Epoch: [2][400/600]	 Time 0.635 (0.637)	 Loss 0.016935 (0.018179)
Epoch: [2][410/600]	 Time 0.633 (0.637)	 Loss 0.014837 (0.018238)
Epoch: [2][420/600]	 Time 0.641 (0.637)	 Loss 0.014545 (0.018344)
Epoch: [2][430/600]	 Time 0.642 (0.637)	 Loss 0.013862 (0.018368)
Epoch: [2][440/600]	 Time 0.639 (0.637)	 Loss 0.013573 (0.018317)
Epoch: [2][450/600]	 Time 0.639 (0.638)	 Loss 0.024655 (0.018317)
Epoch: [2][460/600]	 Time 0.639 (0.638)	 Loss 0.018364 (0.018240)
Epoch: [2][470/600]	 Time 0.638 (0.638)	 Loss 0.010233 (0.018193)
Epoch: [2][480/600]	 Time 0.639 (0.638)	 Loss 0.015733 (0.018172)
Epoch: [2][490/600]	 Time 0.640 (0.638)	 Loss 0.013368 (0.018248)
Epoch: [2][500/600]	 Time 0.644 (0.638)	 Loss 0.013970 (0.018171)
Epoch: [2][510/600]	 Time 0.643 (0.638)	 Loss 0.030382 (0.018212)
Epoch: [2][520/600]	 Time 0.642 (0.638)	 Loss 0.032230 (0.018231)
Epoch: [2][530/600]	 Time 0.643 (0.638)	 Loss 0.009349 (0.018269)
Epoch: [2][540/600]	 Time 0.640 (0.638)	 Loss 0.019845 (0.018270)
Epoch: [2][550/600]	 Time 0.641 (0.638)	 Loss 0.020986 (0.018275)
Epoch: [2][560/600]	 Time 0.640 (0.638)	 Loss 0.012706 (0.018301)
Epoch: [2][570/600]	 Time 0.642 (0.638)	 Loss 0.021551 (0.018327)
Epoch: [2][580/600]	 Time 0.642 (0.638)	 Loss 0.018008 (0.018314)
Epoch: [2][590/600]	 Time 0.634 (0.638)	 Loss 0.019371 (0.018289)
Val/Test: [0/150]	 Time 0.994 (0.994)	 Loss 0.020305 (0.020305)
Val/Test: [10/150]	 Time 0.608 (0.642)	 Loss 0.038429 (0.017769)
Val/Test: [20/150]	 Time 0.610 (0.626)	 Loss 0.025103 (0.017449)
Val/Test: [30/150]	 Time 0.610 (0.620)	 Loss 0.007642 (0.017401)
Val/Test: [40/150]	 Time 0.609 (0.617)	 Loss 0.016159 (0.017496)
Val/Test: [50/150]	 Time 0.611 (0.615)	 Loss 0.013073 (0.017570)
Val/Test: [60/150]	 Time 0.605 (0.614)	 Loss 0.016174 (0.016936)
