Epoch: [0][0/384]	 Time 1.711 (1.711)	 Loss 0.103931 (0.103931)
Epoch: [0][10/384]	 Time 0.694 (0.790)	 Loss 0.161331 (0.134609)
Epoch: [0][20/384]	 Time 0.692 (0.745)	 Loss 0.103338 (0.125983)
Epoch: [0][30/384]	 Time 0.701 (0.729)	 Loss 0.131797 (0.124306)
Epoch: [0][40/384]	 Time 0.689 (0.721)	 Loss 0.107155 (0.122907)
Epoch: [0][50/384]	 Time 0.692 (0.716)	 Loss 0.133674 (0.124027)
Epoch: [0][60/384]	 Time 0.694 (0.712)	 Loss 0.099109 (0.122811)
Epoch: [0][70/384]	 Time 0.694 (0.710)	 Loss 0.110968 (0.122628)
Epoch: [0][80/384]	 Time 0.689 (0.708)	 Loss 0.141508 (0.124263)
Epoch: [0][90/384]	 Time 0.696 (0.706)	 Loss 0.098574 (0.123100)
Epoch: [0][100/384]	 Time 0.693 (0.705)	 Loss 0.103475 (0.122753)
Epoch: [0][110/384]	 Time 0.696 (0.704)	 Loss 0.095155 (0.121940)
Epoch: [0][120/384]	 Time 0.702 (0.703)	 Loss 0.159307 (0.122023)
Epoch: [0][130/384]	 Time 0.694 (0.702)	 Loss 0.137529 (0.121798)
Epoch: [0][140/384]	 Time 0.691 (0.702)	 Loss 0.086420 (0.120908)
Epoch: [0][150/384]	 Time 0.697 (0.701)	 Loss 0.111553 (0.121481)
Epoch: [0][160/384]	 Time 0.695 (0.701)	 Loss 0.075898 (0.120536)
Epoch: [0][170/384]	 Time 0.695 (0.700)	 Loss 0.109816 (0.119836)
Epoch: [0][180/384]	 Time 0.693 (0.700)	 Loss 0.097660 (0.119888)
Epoch: [0][190/384]	 Time 0.690 (0.699)	 Loss 0.076423 (0.119473)
Epoch: [0][200/384]	 Time 0.695 (0.699)	 Loss 0.128390 (0.119167)
Epoch: [0][210/384]	 Time 0.690 (0.699)	 Loss 0.159822 (0.119226)
Epoch: [0][220/384]	 Time 0.690 (0.698)	 Loss 0.125743 (0.119398)
Epoch: [0][230/384]	 Time 0.689 (0.698)	 Loss 0.111943 (0.119291)
Epoch: [0][240/384]	 Time 0.683 (0.698)	 Loss 0.123619 (0.119248)
Epoch: [0][250/384]	 Time 0.695 (0.698)	 Loss 0.115234 (0.119121)
Epoch: [0][260/384]	 Time 0.694 (0.697)	 Loss 0.107399 (0.119076)
Epoch: [0][270/384]	 Time 0.689 (0.697)	 Loss 0.114752 (0.119330)
Epoch: [0][280/384]	 Time 0.694 (0.697)	 Loss 0.142778 (0.119224)
Epoch: [0][290/384]	 Time 0.688 (0.697)	 Loss 0.130296 (0.119186)
Epoch: [0][300/384]	 Time 0.687 (0.697)	 Loss 0.101507 (0.119036)
Epoch: [0][310/384]	 Time 0.697 (0.697)	 Loss 0.107604 (0.119167)
Epoch: [0][320/384]	 Time 0.689 (0.696)	 Loss 0.133517 (0.119233)
Epoch: [0][330/384]	 Time 0.689 (0.696)	 Loss 0.115894 (0.119090)
Epoch: [0][340/384]	 Time 0.694 (0.696)	 Loss 0.111424 (0.118678)
Epoch: [0][350/384]	 Time 0.693 (0.696)	 Loss 0.129385 (0.118626)
Epoch: [0][360/384]	 Time 0.692 (0.696)	 Loss 0.147532 (0.118312)
