Val/Test: [0/1352]	 Time 6.673 (6.673)	 Loss 0.116951 (0.116951)
Val/Test: [50/1352]	 Time 0.211 (0.450)	 Loss 0.118958 (0.121304)
Val/Test: [100/1352]	 Time 0.216 (0.398)	 Loss 0.113267 (0.121189)
Val/Test: [150/1352]	 Time 0.327 (0.382)	 Loss 0.151376 (0.122392)
Val/Test: [200/1352]	 Time 0.526 (0.374)	 Loss 0.117350 (0.121786)
Val/Test: [250/1352]	 Time 0.496 (0.368)	 Loss 0.128874 (0.121746)
Val/Test: [300/1352]	 Time 0.212 (0.364)	 Loss 0.119560 (0.121444)
Val/Test: [350/1352]	 Time 0.580 (0.364)	 Loss 0.125771 (0.121784)
Val/Test: [400/1352]	 Time 0.212 (0.361)	 Loss 0.108331 (0.121820)
Val/Test: [450/1352]	 Time 0.216 (0.358)	 Loss 0.146607 (0.122323)
Val/Test: [500/1352]	 Time 0.554 (0.358)	 Loss 0.128590 (0.122355)
Val/Test: [550/1352]	 Time 0.294 (0.355)	 Loss 0.109160 (0.122332)
Val/Test: [600/1352]	 Time 0.528 (0.355)	 Loss 0.123812 (0.122245)
Val/Test: [650/1352]	 Time 0.212 (0.355)	 Loss 0.110557 (0.121980)
Val/Test: [700/1352]	 Time 0.326 (0.354)	 Loss 0.132575 (0.121830)
Val/Test: [750/1352]	 Time 0.715 (0.354)	 Loss 0.131496 (0.121887)
Val/Test: [800/1352]	 Time 0.401 (0.352)	 Loss 0.126747 (0.121909)
Val/Test: [850/1352]	 Time 0.244 (0.352)	 Loss 0.128559 (0.122056)
Val/Test: [900/1352]	 Time 0.215 (0.351)	 Loss 0.099381 (0.122094)
Val/Test: [950/1352]	 Time 0.563 (0.351)	 Loss 0.132099 (0.122179)
Val/Test: [1000/1352]	 Time 0.211 (0.351)	 Loss 0.117127 (0.122102)
Val/Test: [1050/1352]	 Time 0.813 (0.351)	 Loss 0.125536 (0.122217)
Val/Test: [1100/1352]	 Time 0.214 (0.350)	 Loss 0.124739 (0.122333)
Val/Test: [1150/1352]	 Time 0.477 (0.349)	 Loss 0.110091 (0.122270)
Val/Test: [1200/1352]	 Time 0.350 (0.349)	 Loss 0.127713 (0.122230)
Val/Test: [1250/1352]	 Time 0.613 (0.348)	 Loss 0.101026 (0.122285)
Val/Test: [1300/1352]	 Time 0.214 (0.348)	 Loss 0.118934 (0.122283)
Val/Test: [1350/1352]	 Time 0.210 (0.348)	 Loss 0.114873 (0.122289)
Epoch: [0][0/3151]	 Time 1.695 (1.695)	 Loss 0.127130 (0.127130)
Epoch: [0][50/3151]	 Time 0.236 (0.370)	 Loss 0.113234 (0.121540)
Epoch: [0][100/3151]	 Time 0.407 (0.364)	 Loss 0.124796 (0.117958)
Epoch: [0][150/3151]	 Time 0.692 (0.362)	 Loss 0.093587 (0.115951)
Epoch: [0][200/3151]	 Time 0.240 (0.357)	 Loss 0.120764 (0.114792)
Epoch: [0][250/3151]	 Time 0.578 (0.357)	 Loss 0.119459 (0.113839)
Epoch: [0][300/3151]	 Time 0.401 (0.355)	 Loss 0.105880 (0.113237)
Epoch: [0][350/3151]	 Time 0.232 (0.354)	 Loss 0.118669 (0.112328)
Epoch: [0][400/3151]	 Time 0.307 (0.353)	 Loss 0.113687 (0.111814)
Epoch: [0][450/3151]	 Time 0.310 (0.353)	 Loss 0.099006 (0.111569)
Epoch: [0][500/3151]	 Time 0.264 (0.353)	 Loss 0.128116 (0.111147)
Epoch: [0][550/3151]	 Time 0.234 (0.353)	 Loss 0.108560 (0.110642)
Epoch: [0][0/3151]	 Time 1.625 (1.625)	 Loss 0.130264 (0.130264)
Epoch: [0][50/3151]	 Time 0.231 (0.351)	 Loss 0.107617 (0.120709)
Epoch: [0][100/3151]	 Time 0.726 (0.343)	 Loss 0.102547 (0.117931)
Epoch: [0][150/3151]	 Time 0.237 (0.338)	 Loss 0.106961 (0.116579)
Epoch: [0][200/3151]	 Time 0.580 (0.337)	 Loss 0.106641 (0.115253)
Epoch: [0][250/3151]	 Time 0.233 (0.336)	 Loss 0.111132 (0.114068)
Epoch: [0][300/3151]	 Time 0.234 (0.335)	 Loss 0.122558 (0.113360)
Epoch: [0][350/3151]	 Time 0.339 (0.335)	 Loss 0.101416 (0.112680)
